volume,timestamp,close,high,low,open
536,2020-09-09T04:00:00Z,16.03,18.78,16.03,18.46
345,2020-09-10T04:00:00Z,18.55,18.55,17.39,18.00
366,2020-09-11T04:00:00Z,17.90,18.13,16.66,17.05
394,2020-09-14T04:00:00Z,17.12,17.65,15.91,16.12
263,2020-09-15T04:00:00Z,16.30,16.67,15.31,15.81
150,2020-09-16T04:00:00Z,15.94,16.50,15.94,16.14
438,2020-09-17T04:00:00Z,16.10,16.39,15.54,15.85
212,2020-09-18T04:00:00Z,16.02,16.22,15.66,16.05
466,2020-09-21T04:00:00Z,15.94,15.97,15.11,15.56
2967,2020-09-22T04:00:00Z,15.65,18.47,15.51,17.75
726,2020-09-23T04:00:00Z,18.51,18.51,17.35,17.50
442,2020-09-24T04:00:00Z,17.54,18.43,17.31,17.90
706,2020-09-25T04:00:00Z,18.23,19.99,17.90,19.74
541,2020-09-28T04:00:00Z,19.81,20.00,19.25,19.66
586,2020-09-29T04:00:00Z,19.89,20.19,19.62,19.82
411,2020-09-30T04:00:00Z,20.14,20.19,19.77,19.88
239,2020-10-01T04:00:00Z,20.15,20.25,19.97,19.97
203,2020-10-02T04:00:00Z,19.86,20.03,19.65,19.82
413,2020-10-05T04:00:00Z,19.83,20.35,19.83,20.00
450,2020-10-06T04:00:00Z,20.30,21.20,20.01,20.92
641,2020-10-07T04:00:00Z,21.26,22.50,21.06,21.54
216,2020-10-08T04:00:00Z,21.70,21.80,20.74,21.15
221,2020-10-09T04:00:00Z,21.49,21.49,21.02,21.21
200,2020-10-12T04:00:00Z,21.21,21.74,21.21,21.60
145,2020-10-13T04:00:00Z,21.36,21.92,21.36,21.50
92,2020-10-14T04:00:00Z,21.71,21.94,21.25,21.25
240,2020-10-15T04:00:00Z,21.12,21.12,20.20,20.98
383,2020-10-16T04:00:00Z,20.50,22.23,20.50,21.00
261,2020-10-19T04:00:00Z,21.15,21.95,20.63,20.69
343,2020-10-20T04:00:00Z,20.75,22.49,20.75,22.25
456,2020-10-21T04:00:00Z,21.94,22.75,20.60,21.23
174,2020-10-22T04:00:00Z,21.17,21.90,20.65,21.00
246,2020-10-23T04:00:00Z,21.12,21.65,20.50,20.91
199,2020-10-26T04:00:00Z,20.91,21.04,20.00,20.78
251,2020-10-27T04:00:00Z,20.52,21.54,20.32,21.25
204,2020-10-28T04:00:00Z,21.19,21.22,20.05,20.61
207,2020-10-29T04:00:00Z,20.05,21.60,20.05,20.90
286,2020-10-30T04:00:00Z,21.00,21.63,19.50,20.08
388,2020-11-02T05:00:00Z,20.15,21.98,20.15,21.50
384,2020-11-03T05:00:00Z,21.81,22.42,20.59,21.22
253,2020-11-04T05:00:00Z,21.38,22.90,21.38,22.50
482,2020-11-05T05:00:00Z,23.00,24.35,22.51,22.69
453,2020-11-06T05:00:00Z,22.88,23.25,21.69,22.12
283,2020-11-09T05:00:00Z,21.55,22.08,20.71,21.60
358,2020-11-10T05:00:00Z,21.93,22.20,21.70,21.85
114,2020-11-11T05:00:00Z,22.00,23.50,21.94,23.50
200,2020-11-12T05:00:00Z,23.26,23.80,23.10,23.50
145,2020-11-13T05:00:00Z,23.26,24.00,23.21,23.21
377,2020-11-16T05:00:00Z,23.89,24.09,22.28,22.81
410,2020-11-17T05:00:00Z,22.86,23.95,21.03,21.52
345,2020-11-18T05:00:00Z,21.45,22.55,21.08,21.36
384,2020-11-19T05:00:00Z,21.32,21.62,20.70,21.42
186,2020-11-20T05:00:00Z,21.69,21.80,21.01,21.50
247,2020-11-23T05:00:00Z,21.50,21.75,20.77,21.01
299,2020-11-24T05:00:00Z,20.91,21.75,20.35,20.35
199,2020-11-25T05:00:00Z,20.35,20.93,19.57,20.10
226,2020-11-27T05:00:00Z,19.85,20.15,19.32,19.99
305,2020-11-30T05:00:00Z,19.69,21.13,19.31,20.99
361,2020-12-01T05:00:00Z,21.09,21.39,19.53,19.89
306,2020-12-02T05:00:00Z,19.75,21.11,19.75,21.11
535,2020-12-03T05:00:00Z,20.82,21.60,20.15,20.90
281,2020-12-04T05:00:00Z,20.60,20.85,19.81,19.86
290,2020-12-07T05:00:00Z,20.08,20.20,19.10,19.72
425,2020-12-08T05:00:00Z,19.36,20.40,19.07,19.28
438,2020-12-09T04:00:00Z,19.57,19.71,18.75,19.32
254,2020-12-10T04:00:00Z,19.49,20.20,19.10,20.10
267,2020-12-11T04:00:00Z,20.14,20.23,19.10,19.59
316,2020-12-14T04:00:00Z,19.50,20.11,19.21,19.50
359,2020-12-15T04:00:00Z,19.37,19.50,18.50,19.12
501,2020-12-16T04:00:00Z,19.07,19.60,18.04,19.20
226,2020-12-17T04:00:00Z,19.25,19.90,19.00,19.90
531,2020-12-18T04:00:00Z,19.60,20.70,19.60,20.50
284,2020-12-21T04:00:00Z,20.33,20.77,19.77,20.22
164,2020-12-22T04:00:00Z,20.40,20.88,20.26,20.60
338,2020-12-23T04:00:00Z,20.65,21.50,20.03,20.09
176,2020-12-24T04:00:00Z,20.09,20.16,19.44,19.52
397,2020-12-28T04:00:00Z,19.40,19.90,18.50,18.50
356,2020-12-29T04:00:00Z,18.33,19.26,17.50,17.96
526,2020-12-30T04:00:00Z,18.38,18.55,17.56,18.40
231,2020-12-31T04:00:00Z,18.26,18.30,17.48,17.51
416,2021-01-04T05:00:00Z,17.53,17.74,16.80,17.30
190,2021-01-05T05:00:00Z,17.07,18.51,17.06,17.95
268,2021-01-06T05:00:00Z,17.52,19.20,17.52,18.91
126,2021-01-07T05:00:00Z,18.95,19.48,18.88,18.92
529,2021-01-08T05:00:00Z,18.80,20.16,18.32,19.26
568,2021-01-11T05:00:00Z,19.21,20.80,19.20,19.70
859,2021-01-12T05:00:00Z,20.46,22.50,19.08,22.01
512,2021-01-13T05:00:00Z,22.42,22.42,21.00,22.09
424,2021-01-14T05:00:00Z,22.00,22.50,21.25,21.25
182,2021-01-15T05:00:00Z,21.40,21.64,20.92,21.48
551,2021-01-19T05:00:00Z,21.42,22.71,21.42,22.21
268,2021-01-20T05:00:00Z,22.54,23.20,22.43,22.44
299,2021-01-21T05:00:00Z,22.99,22.99,21.21,22.29
242,2021-01-22T05:00:00Z,22.20,22.27,21.32,22.07
310,2021-01-25T05:00:00Z,22.17,22.40,21.51,22.38
443,2021-01-26T05:00:00Z,22.37,22.40,21.54,21.90
351,2021-01-27T05:00:00Z,21.38,21.62,19.70,19.80
232,2021-01-28T05:00:00Z,20.10,21.10,20.10,21.08
635,2021-01-29T05:00:00Z,20.65,20.70,19.16,19.57
626,2021-02-01T05:00:00Z,19.80,21.41,19.66,21.20
310,2021-02-02T05:00:00Z,21.30,22.03,20.81,20.81
144,2021-02-03T05:00:00Z,20.85,21.20,20.22,21.00
221,2021-02-04T05:00:00Z,20.77,21.50,20.61,20.75
233,2021-02-05T05:00:00Z,20.80,21.61,20.80,21.16
316,2021-02-08T05:00:00Z,21.50,23.47,21.26,22.50
365,2021-02-09T05:00:00Z,22.51,24.35,22.24,23.75
237,2021-02-10T05:00:00Z,23.35,23.50,22.80,23.40
171,2021-02-11T05:00:00Z,23.15,23.97,22.25,22.25
104,2021-02-12T05:00:00Z,22.35,23.61,22.24,22.86
178,2021-02-16T05:00:00Z,22.75,23.54,22.65,23.30
144,2021-02-17T05:00:00Z,23.36,23.43,22.50,22.50
70,2021-02-18T05:00:00Z,22.50,23.45,22.35,22.81
429,2021-02-19T05:00:00Z,23.53,25.50,22.88,23.87
932,2021-02-22T05:00:00Z,24.57,27.73,23.56,24.86
539,2021-02-23T05:00:00Z,24.28,25.14,20.10,23.11
321,2021-02-24T05:00:00Z,22.99,24.81,22.99,23.65
186,2021-02-25T05:00:00Z,24.15,24.92,21.32,21.49
131,2021-02-26T05:00:00Z,23.51,23.51,21.51,21.86
228,2021-03-01T05:00:00Z,21.30,22.92,21.30,22.87
85,2021-03-02T05:00:00Z,21.31,22.69,21.31,22.69
198,2021-03-03T05:00:00Z,22.86,22.86,21.60,21.60
259,2021-03-04T05:00:00Z,21.60,22.63,20.28,21.12
491,2021-03-05T05:00:00Z,21.39,22.88,19.00,20.42
221,2021-03-08T05:00:00Z,20.15,21.69,20.15,21.34
114,2021-03-09T05:00:00Z,21.69,23.00,21.24,22.49
245,2021-03-10T05:00:00Z,22.40,23.25,22.10,22.89
331,2021-03-11T05:00:00Z,22.92,23.75,22.19,22.84
180,2021-03-12T05:00:00Z,22.78,23.96,22.75,23.50
727,2021-03-15T04:00:00Z,23.58,25.00,23.10,24.83
366,2021-03-16T04:00:00Z,25.33,25.76,24.70,25.42
340,2021-03-17T04:00:00Z,25.25,25.97,24.20,24.28
331,2021-03-18T04:00:00Z,24.69,25.97,24.69,25.20
338,2021-03-19T04:00:00Z,24.96,25.99,23.36,24.29
439,2021-03-22T04:00:00Z,25.28,25.58,23.12,23.30
375,2021-03-23T04:00:00Z,23.80,23.85,22.46,22.83
153,2021-03-24T04:00:00Z,23.37,23.48,22.20,22.20
270,2021-03-25T04:00:00Z,22.01,22.27,20.62,21.54
120,2021-03-26T04:00:00Z,21.89,23.35,21.01,21.49
328,2021-03-29T04:00:00Z,21.49,22.33,20.80,21.00
469,2021-03-30T04:00:00Z,21.05,21.70,20.00,21.27
337,2021-03-31T04:00:00Z,21.25,22.73,20.62,21.93
268,2021-04-01T04:00:00Z,22.02,22.95,21.83,22.70
329,2021-04-05T04:00:00Z,23.06,24.00,22.74,23.50
386,2021-04-06T04:00:00Z,23.62,24.65,23.25,24.28
574,2021-04-07T04:00:00Z,24.60,25.50,23.73,24.50
247,2021-04-08T04:00:00Z,25.49,25.49,23.62,23.90
661,2021-04-09T04:00:00Z,23.89,24.78,22.44,24.64
821,2021-04-12T04:00:00Z,24.66,25.10,22.38,24.01
335,2021-04-13T04:00:00Z,24.00,24.00,22.75,23.74
103,2021-04-14T04:00:00Z,23.35,23.79,23.02,23.55
229,2021-04-15T04:00:00Z,23.60,23.90,22.40,22.80
272,2021-04-16T04:00:00Z,23.20,24.06,22.00,24.06
398,2021-04-19T04:00:00Z,23.44,24.33,23.01,23.53
332,2021-04-20T04:00:00Z,23.78,24.80,22.80,24.80
458,2021-04-21T04:00:00Z,24.30,25.49,23.97,24.80
315,2021-04-22T04:00:00Z,24.80,25.96,24.59,25.40
